#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 01 03 17 00 999 99.0 99.0  0.92 13.33 10.30 278 9999.0 999.0  16.8 999.0 99.0 99.00
2018 01 03 17 30 999 99.0 99.0  0.83 14.29  9.16 278 9999.0 999.0  16.8 999.0 99.0 99.00
2018 01 03 18 30 999 99.0 99.0  0.74 12.50  8.77 285 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 03 19 30 999 99.0 99.0  0.85 12.50 10.03 284 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 03 20 00 999 99.0 99.0  0.77 13.33  9.48 285 9999.0 999.0  17.0 999.0 99.0 99.00
2018 01 03 20 30 999 99.0 99.0  0.77 14.29  9.44 260 9999.0 999.0  17.0 999.0 99.0 99.00
2018 01 03 21 00 999 99.0 99.0  1.06 12.50 10.58 287 9999.0 999.0  17.0 999.0 99.0 99.00
2018 01 03 21 30 999 99.0 99.0  0.87 12.50  9.55 280 9999.0 999.0  17.0 999.0 99.0 99.00
2018 01 03 22 00 999 99.0 99.0  0.82 11.76  9.64 266 9999.0 999.0  17.0 999.0 99.0 99.00
2018 01 03 22 30 999 99.0 99.0  0.75 13.33  9.03 285 9999.0 999.0  17.1 999.0 99.0 99.00
2018 01 03 23 30 999 99.0 99.0  0.81 13.33  9.57 282 9999.0 999.0  17.0 999.0 99.0 99.00
2018 01 04 00 00 999 99.0 99.0  0.80 12.50  9.41 285 9999.0 999.0  17.0 999.0 99.0 99.00
2018 01 04 00 30 999 99.0 99.0  0.86 11.76  9.71 281 9999.0 999.0  17.0 999.0 99.0 99.00
2018 01 04 01 00 999 99.0 99.0  0.90 12.50  9.72 285 9999.0 999.0  17.0 999.0 99.0 99.00
2018 01 04 01 30 999 99.0 99.0  0.82 13.33  9.27 271 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 04 02 00 999 99.0 99.0  0.84 13.33  9.48 274 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 04 02 30 999 99.0 99.0  0.78 12.50  9.11 278 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 04 03 30 999 99.0 99.0  0.86 11.11  9.78 270 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 04 04 00 999 99.0 99.0  0.78 13.33  9.58 267 9999.0 999.0  17.0 999.0 99.0 99.00
2018 01 04 04 30 999 99.0 99.0  0.83 12.50 10.23 282 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 04 05 00 999 99.0 99.0  0.84 13.33 10.18 274 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 04 05 30 999 99.0 99.0  0.86 12.50 10.21 285 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 04 06 00 999 99.0 99.0  0.88 11.76 10.65 277 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 04 06 30 999 99.0 99.0  0.77 11.76 10.12 270 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 04 07 30 999 99.0 99.0  0.79 11.11 10.03 268 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 04 08 00 999 99.0 99.0  0.75 13.33  9.90 253 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 04 08 30 999 99.0 99.0  0.80 12.50 10.13 278 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 04 09 00 999 99.0 99.0  0.91 11.76 10.15 280 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 04 09 30 999 99.0 99.0  0.82 14.29  9.45 275 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 04 10 00 999 99.0 99.0  0.87 11.76  9.51 284 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 04 10 30 999 99.0 99.0  0.87 11.11  9.24 287 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 04 11 28 999 99.0 99.0  0.88 11.76  9.84 278 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 04 12 00 999 99.0 99.0  0.85 14.29  9.37 289 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 04 12 30 999 99.0 99.0  0.85 12.50  9.83 275 9999.0 999.0  16.8 999.0 99.0 99.00
2018 01 04 13 00 999 99.0 99.0  0.85 12.50  9.67 267 9999.0 999.0  16.8 999.0 99.0 99.00
2018 01 04 13 30 999 99.0 99.0  0.84 11.76  9.89 264 9999.0 999.0  16.8 999.0 99.0 99.00
2018 01 04 14 00 999 99.0 99.0  0.89 11.11 10.28 274 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 04 14 30 999 99.0 99.0  0.84 12.50 10.39 278 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 04 15 30 999 99.0 99.0  0.86 12.50 10.28 270 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 04 16 00 999 99.0 99.0  0.90  9.88 10.32 263 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 04 16 30 999 99.0 99.0  0.90 18.18 10.83 291 9999.0 999.0  17.0 999.0 99.0 99.00
2018 01 04 17 00 999 99.0 99.0  0.94 13.33 11.27 288 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 04 17 30 999 99.0 99.0  0.93 14.29 11.29 266 9999.0 999.0  17.0 999.0 99.0 99.00
2018 01 04 18 00 999 99.0 99.0  1.00 18.18 11.36 287 9999.0 999.0  17.0 999.0 99.0 99.00
2018 01 04 18 30 999 99.0 99.0  1.00 16.67 11.29 281 9999.0 999.0  17.2 999.0 99.0 99.00
2018 01 04 19 00 999 99.0 99.0  0.99 18.18 11.39 288 9999.0 999.0  17.3 999.0 99.0 99.00
